Timepoint,Actinobacteria,Bacteroidetes,Desulfobacterota,Firmicutes,Proteobacteria,Acidobacteria,Euryarchaeota,Lentisphaerae,Synergistetes,Verrucomicrobia
2,,11253,,416,,,,,,
2,,956,,481,,,,,,
2,,,,497,,,,,,
2,,,,559,,,,,,
2,,,,29,,,,,,
2,,,,99,,,,,,
2,,,,80,,,,,,
2,,,,31,,,,,,
2,,,,31,,,,,,
2,,,,31,,,,,,
2,,,,43,,,,,,
2,,,,44,,,,,,
2,,,,49,,,,,,
2,,,,50,,,,,,
2,,,,61,,,,,,
2,,,,65,,,,,,
2,,,,68,,,,,,
2,,,,69,,,,,,
2,,,,74,,,,,,
2,,,,175,,,,,,
2,,,,2507,,,,,,
2,,,,178,,,,,,
2,,,,37514.16667,,,,,,
2,,,,5,,,,,,
2,,,,6,,,,,,
2,,,,7,,,,,,
2,,,,9,,,,,,
2,,,,11,,,,,,
2,,,,12,,,,,,
2,,,,14,,,,,,
2,,,,14,,,,,,
2,,,,10,,,,,,
2,,,,162,,,,,,
2,,,,416,,,,,,
2,,,,481,,,,,,
2,,,,497,,,,,,
2,,,,559,,,,,,
2,,,,2360,,,,,,
2,,,,2507,,,,,,
2,,,,2971,,,,,,
2,,,,3131,,,,,,
2,,,,3266,,,,,,
2,,,,3682,,,,,,
2,,,,4058,,,,,,
2,,,,14,,,,,,
2,,,,15,,,,,,
2,,,,192,,,,,,
2,,,,2360,,,,,,
2,,,,328,,,,,,
2,,,,354,,,,,,
2,,,,357,,,,,,
2,,,,414,,,,,,
2,,,,432,,,,,,
2,,,,15,,,,,,
2,,,,643,,,,,,
2,,,,788,,,,,,
2,,,,16,,,,,,
2,,,,20,,,,,,
2,,,,20,,,,,,
2,,,,20,,,,,,
2,,,,6195,,,,,,
2,,,,4565,,,,,,
2,,,,4063,,,,,,
2,,,,3336,,,,,,
2,,,,2648,,,,,,
2,,,,2151,,,,,,
2,,,,829,,,,,,
3,79,111,170,2387,117,7,11,24.16666667,8455.833333,2919.5
3,798.3333333,160,,411,10933.16667,,,10,197,165
3,79,152,,401,117,,,31,689,65
3,24,106,,329,133,,,12,643,72
3,,32,,316,133,,,,494,75
3,,31425.16667,,2727,125,,,,405,233
3,,32,,99,132,,,,290,279
3,,111,,3137,132,,,,,
3,,152,,3518,140,,,,,
3,,160,,19071.66667,173,,,,,
3,,106,,4399,24,,,,,
3,,162,,4009,110,,,,,
3,,300,,3518,32,,,,,
3,,16,,3230,32,,,,,
3,,111,,3137,98,,,,,
3,,133,,2727,87,,,,,
